country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,brand_idsum,brand_idcount,brand_idmean,brand_packsum,brand_packcount,brand_packmean,brand_quantitysum,brand_quantitycount,brand_quantitymean,brand_valuesum,brand_valuecount,brand_valuemean,brand_pricesum,brand_pricecount,brand_pricemean,brand_pricesum,brand_pricecount,brand_pricemean,brand_designationsum,brand_designationcount,brand_designationmean,brand_usdsum,brand_usdcount,brand_usdmean,brand_calculatedsum,brand_calculatedcount,brand_calculatedmean,brand_calculatedsum,brand_calculatedcount,brand_calculatedmean
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Uganda,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Cipla, Goa, India",CIPLA LIMITED,Efavirenz,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Uganda,"Aspen-OSD, Port Elizabeth, SA",ASPEN PHARMACARE,Lamivudine/Zidovudine+Nevirapine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Abacavir,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,123230,30,4107.666666666667,2490,30,83.0,394776,30,13159.2,3506509.08,30,116883.636,252.03,30,8.401,4.61,30,0.15366666666666667,17,30,0.5666666666666667,1411.2,30,47.04,33958.926156474845,30,1131.964205215828,1903347.6746493443,30,63444.92248831147
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Ethiopia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Guyana,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Nigeria,ABBVIE (Abbott) Japan Co. Ltd.,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Haiti,ABBVIE (Abbott) Japan Co. Ltd.,REINBOLD EXPORT IMPORT,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Haiti,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,89903,14,6421.642857142857,1400,14,100.0,10530,14,752.1428571428571,872900.0,14,62350.0,1230.0,14,87.85714285714286,12.3,14,0.8785714285714287,14,14,1.0,658.56,14,47.04,224734.46199615655,14,16052.46157115404,1953918.082358397,14,139565.5773113141
Zambia,MSD South Granville Australia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Mozambique,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Mozambique,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Mozambique,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD Patheon, Canada",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Ethiopia,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Zambia,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Mozambique,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Côte d'Ivoire,"MSD, Haarlem, NL",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Tanzania,MSD South Granville Australia,SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Mozambique,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Zambia,"MSD Manati, Puerto Rico, (USA)",SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,184619,17,10859.941176470587,1260,17,74.11764705882354,30265,17,1780.2941176470588,283703.57,17,16688.445294117646,220.14,17,12.949411764705882,2.9,17,0.17058823529411765,11,17,0.6470588235294118,752.8299999999999,17,44.28411764705882,3616.6168398556515,17,212.74216705033245,125975.38116951383,17,7410.316539383166
Zambia,ABBVIE (Abbott) St. P'burg USA,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,288622,31,9310.387096774193,3720,31,120.0,81140,31,2617.4193548387098,3683202.6,31,118812.9870967742,1619.32,31,52.23612903225806,13.41,31,0.4325806451612903,26,31,0.8387096774193549,5359.41,31,172.8841935483871,74554.42332705147,31,2404.9813976468217,996442.1905744564,31,32143.296470143752
Zambia,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,288622,31,9310.387096774193,3720,31,120.0,81140,31,2617.4193548387098,3683202.6,31,118812.9870967742,1619.32,31,52.23612903225806,13.41,31,0.4325806451612903,26,31,0.8387096774193549,5359.41,31,172.8841935483871,74554.42332705147,31,2404.9813976468217,996442.1905744564,31,32143.296470143752
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,288622,31,9310.387096774193,3720,31,120.0,81140,31,2617.4193548387098,3683202.6,31,118812.9870967742,1619.32,31,52.23612903225806,13.41,31,0.4325806451612903,26,31,0.8387096774193549,5359.41,31,172.8841935483871,74554.42332705147,31,2404.9813976468217,996442.1905744564,31,32143.296470143752
Mozambique,ABBSP,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,288622,31,9310.387096774193,3720,31,120.0,81140,31,2617.4193548387098,3683202.6,31,118812.9870967742,1619.32,31,52.23612903225806,13.41,31,0.4325806451612903,26,31,0.8387096774193549,5359.41,31,172.8841935483871,74554.42332705147,31,2404.9813976468217,996442.1905744564,31,32143.296470143752
