country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,vendor_idsum,vendor_idcount,vendor_idmean,vendor_packsum,vendor_packcount,vendor_packmean,vendor_quantitysum,vendor_quantitycount,vendor_quantitymean,vendor_valuesum,vendor_valuecount,vendor_valuemean,vendor_pricesum,vendor_pricecount,vendor_pricemean,vendor_pricesum,vendor_pricecount,vendor_pricemean,vendor_designationsum,vendor_designationcount,vendor_designationmean,vendor_usdsum,vendor_usdcount,vendor_usdmean,vendor_calculatedsum,vendor_calculatedcount,vendor_calculatedmean,vendor_calculatedsum,vendor_calculatedcount,vendor_calculatedmean
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Nigeria,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Guyana,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Vietnam,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Abacavir,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Ethiopia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Guyana,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Haiti,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Uganda,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Zambia,MSD South Granville Australia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,2007,8012,2,4006.0,270,2,135.0,1442,2,721.0,68835.23999999999,2,34417.619999999995,81.72,2,40.86,0.63,2,0.315,1,2,0.5,94.08,2,47.04,324.73521300653744,2,162.36760650326872,8000.899261299523,2,4000.4496306497613
Zambia,MSD Elkton USA,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Indinavir,Crixivan,2007,8012,2,4006.0,270,2,135.0,1442,2,721.0,68835.23999999999,2,34417.619999999995,81.72,2,40.86,0.63,2,0.315,1,2,0.5,94.08,2,47.04,324.73521300653744,2,162.36760650326872,8000.899261299523,2,4000.4496306497613
Zambia,ABBVIE (Abbott) St. P'burg USA,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Zambia,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Mozambique,ABBSP,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE (Abbott) Logis. UK,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE (Abbott) Logis. UK,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Vietnam,ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,21660,9,2406.6666666666665,1260,9,140.0,10200,9,1133.3333333333333,735140.4,9,81682.26666666666,715.0799999999999,9,79.45333333333332,5.5200000000000005,9,0.6133333333333334,9,9,1.0,608.96,9,67.66222222222223,9454.48022767462,9,1050.4978030749578,126361.95906821142,9,14040.217674245714
Zambia,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Guyana,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Rwanda,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Haiti,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit",Capillus,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Nigeria,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Tanzania,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit",Capillus,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Guyana,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Guyana,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Rwanda,"Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit",Capillus,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Haiti,Not Applicable,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit",Capillus,2007,46749,10,4674.9,520,10,52.0,8705,10,870.5,408315.0,10,40831.5,844.0,10,84.4,17.08,10,1.7079999999999997,10,10,1.0,566.78,10,56.678,3804.15139285122,10,380.415139285122,258024.90311975015,10,25802.490311975016
Nigeria,"EY Laboratories, USA",EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,2007,62,1,62.0,100,1,100.0,10,1,10.0,850.0,1,850.0,85.0,1,85.0,0.85,1,0.85,1,1,1.0,47.04,1,47.04,12.0,1,12.0,535.7333333333333,1,535.7333333333333
Rwanda,"Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Zidovudine,Generic,2007,11944,8,1493.0,630,8,78.75,233282,8,29160.25,2568650.9,8,321081.3625,97.22,8,12.1525,1.8299999999999998,8,0.22874999999999998,5,8,0.625,882.24,8,110.28,21405.03545277612,8,2675.629431597015,490622.94281921926,8,61327.86785240241
Vietnam,"Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Zidovudine,Generic,2007,11944,8,1493.0,630,8,78.75,233282,8,29160.25,2568650.9,8,321081.3625,97.22,8,12.1525,1.8299999999999998,8,0.22874999999999998,5,8,0.625,882.24,8,110.28,21405.03545277612,8,2675.629431597015,490622.94281921926,8,61327.86785240241
Vietnam,"Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,2007,11944,8,1493.0,630,8,78.75,233282,8,29160.25,2568650.9,8,321081.3625,97.22,8,12.1525,1.8299999999999998,8,0.22874999999999998,5,8,0.625,882.24,8,110.28,21405.03545277612,8,2675.629431597015,490622.94281921926,8,61327.86785240241
Rwanda,"Cipla, Goa, India",CIPLA LIMITED,Efavirenz,Generic,2007,11944,8,1493.0,630,8,78.75,233282,8,29160.25,2568650.9,8,321081.3625,97.22,8,12.1525,1.8299999999999998,8,0.22874999999999998,5,8,0.625,882.24,8,110.28,21405.03545277612,8,2675.629431597015,490622.94281921926,8,61327.86785240241
Rwanda,"Cipla, Patalganga, India",CIPLA LIMITED,Abacavir,Generic,2007,11944,8,1493.0,630,8,78.75,233282,8,29160.25,2568650.9,8,321081.3625,97.22,8,12.1525,1.8299999999999998,8,0.22874999999999998,5,8,0.625,882.24,8,110.28,21405.03545277612,8,2675.629431597015,490622.94281921926,8,61327.86785240241
